latitude,longitude,length_of_encounter_seconds
36.5452778,-82.6611111,10
39.7944444,-87.3958333,14400
44.3875,-68.2044444,30
38.4088889,-121.3705556,4
32.3666667,-86.3,180
34.0522222,-118.2427778,300
45.124411,-92.673537,120
41.9438889,-85.6325,600
45.2630556,-122.6913889,10
45.333333,-80.033333,6
42.0386111,-78.3411111,30
42.0386111,-78.3411111,30
42.0386111,-78.3411111,60
42.0386111,-78.3411111,60
36.6230556,-93.1638889,5400
40.9730556,-117.7347222,2
42.1947222,-122.7083333,45
37.6866667,-96.9763889,600
30.3880556,-95.6961111,3600
36.4011111,-93.7377778,900
37.704344,-88.426757,900
41.9316667,-87.9888889,600
51.514125,-0.093689,3
43.9747222,-75.9111111,30
38.7138889,-121.4616667,30
52.75,-3.883333,240
33.9791667,-118.0319444,1500
45.1244444,-92.6733333,10800
64.8377778,-147.7163889,1800
39.7391667,-104.9841667,900
31.2516667,-89.8375,300
39.2191667,-121.06,60
40.7425,-84.1052778,300
37.2152778,-93.2980556,6
39.5297222,-119.8127778,600
42.1625,-71.0416667,300
32.7833333,-96.8,3
32.7152778,-117.1563889,172800
43.6666667,-92.9744444,5
40.7141667,-74.0063889,120
39.3280556,-120.1822222,3
37.916104,-85.956247,3
43.4197222,-85.8,40
41.492537,-99.901813,2
38.7297222,-120.7975,600
40.0991667,-104.9366667,10
39.1652778,-86.5263889,180
39.0911111,-94.4152778,600
21.3069444,-157.8583333,3
34.0522222,-118.2427778,20
44.9194444,-123.3158333,20
39.7327778,-75.1319444,7200
37.3394444,-121.8938889,15
27.477936,-99.549573,1200
36.6777778,-121.6544444,2700
35.1186111,-120.5897222,60
36.7477778,-119.7713889,120
41.314497,-81.83569,5
27.5061111,-99.5072222,1351
26.6155556,-80.0572222,7200
42.9638889,-78.7380556,540
52.683333,-2.016667,180
28.1875,-82.7397222,180
44.8041667,-93.1666667,7200
36.188137,-94.540496,180
39.32098,-111.093731,600
40.6808333,-112.2622222,720
21.344507,-157.974891,2
33.5805556,-112.2366667,5400
33.3702778,-112.5830556,1800
32.8794444,-111.7566667,1800
33.4147222,-111.9086111,3
30.6941667,-88.0430556,1800
40.8527778,-74.0425,300
42.2711111,-95.0927778,10
53.433333,-1.35,3600
36.1658333,-86.7844444,13
41.615591,-87.529487,420
43.161748,-70.648258,30
34.746481,-92.289595,600
47.8211111,-122.3138889,120
34.0625,-118.1219444,120
47.0227778,-91.6705556,600
30.4211111,-87.2169444,3600
30.6322222,-87.0397222,900
51.816667,-1.283333,5
34.2241667,-118.2391667,3
36.3955556,-97.8780556,60
35.5361111,-100.9594444,60
43.2127778,-75.4561111,120
39.0297222,-84.3663889,360
45.2944444,-123.1752778,900
45.4077778,-122.5691667,900
-27.597553,152.7455,3600
47.6063889,-122.3308333,10
35.0241667,-81.0280556,1800
30.2458333,-87.7008333,1800
51.514125,-0.093689,300
46.62794,14.30899,60
25.9013889,-97.4972222,3
37.9780556,-122.03,180
35.6708333,-80.4744444,20
-27.088079,152.928057,240
41.1669444,-73.2052778,7200
39.5122222,-76.7697222,7200
33.9533333,-117.3952778,60
26.1416667,-81.795,30
31.2577778,-95.9780556,900
41.885738,-87.969213,300
35.0844444,-106.6505556,120
34.0522222,-118.2427778,30
48.50389,-122.23611,10
40.7616667,-73.3297222,10800
37.9833333,-75.8541667,600
47.55,-52.666667,5
42.3713889,-83.4702778,20
33.5386111,-112.1852778,1200
38.2541667,-85.7594444,120
26.7052778,-80.0366667,3
41.9666667,-71.55,15
39.5741667,-86.8652778,540
43.0730556,-89.4011111,180
33.8491667,-118.3875,1200
46.553733,-120.383162,1
42.6525,-73.7566667,120
26.7052778,-80.0366667,2400
38.6786111,-121.2247222,2700
44.8277778,-92.9436111,240
34.1361111,-117.8644444,60
33.0416667,-116.8672222,5
37.5958333,-122.0180556,15
42.586888,-82.919551,15
37.8902778,-88.3030556,120
36.0397222,-114.9811111,180
37.6775,-113.0611111,8
41.6005556,-93.6088889,90
41.6361111,-70.9347222,1800
41.3325,-73.2077778,300
33.9133333,-78.3041667,30
37.7622222,-84.8433333,480
42.2625,-71.8027778,4
40.6377778,-74.4513889,3600
42.6105556,-71.2347222,2
40.695655,-73.325675,120
41.6347222,-84.9994444,7200
39.2544444,-76.7002778,300
41.2788889,-75.8786111,720
43.0830556,-73.785,300
41.2052778,-76.0052778,60
32.3122222,-106.7777778,120
47.3525,-121.9825,10
